jupiterDistance	saturnDistance
6.464635548704932E11	1.2235405824459524E12
5.717369345646816E11	1.2192965663682861E12
6.423862737477002E11	1.234818694043563E12
6.612562966306467E11	1.2731221930988828E12
8.900170230815211E11	1.3616685916834165E12
8.6557165547827E11	1.4357045869845774E12
6.466483792296298E11	1.4915003567432883E12
3.544058046286078E11	1.2811779043734478E12
1.0340931304248186E10	7.824274974729073E11
3.5027837203035645E11	2.7261073550781857E11
5.824849154877179E11	4.1032093544429486E11
6.206396805940679E11	1.1275940889817126E12
